Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Net Amount,AP Amount,Tax Code Description,Purchase invoice number,URL
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS Other FDR Payment,PRC DELEGATED CO-COMMISSIONING,BEDFORD STREET SURGERY,30249443,"4,100.12","4,100.12",OUTSIDE SCOPE,BU000026095,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,BEDFORD STREET SURGERY,30249443,"1,716.26","1,716.26",OUTSIDE SCOPE,BU000026095,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,BEDFORD STREET SURGERY,30249443,"2,338.46","2,338.46",OUTSIDE SCOPE,BU000026095,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS Prem Cost Rent,PRC DELEGATED CO-COMMISSIONING,BEDFORD STREET SURGERY,30249443,"3,344.25","3,344.25",OUTSIDE SCOPE,BU000026095,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,BEDFORD STREET SURGERY,30249443,"2,900.00","2,900.00",OUTSIDE SCOPE,BU000026095,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,BEDFORD STREET SURGERY,30249443,"1,937.57","1,937.57",OUTSIDE SCOPE,BU000026095,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,BEDFORD STREET SURGERY,30249443,796.57,796.57,OUTSIDE SCOPE,BU000026095,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BEDFORD STREET SURGERY,30249443,"7,727.54","7,727.54",OUTSIDE SCOPE,BU000026095,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,ASHFIELD MEDICAL CENTRE MILTON KEYNES,30249445,736.78,736.78,OUTSIDE SCOPE,BU000026097,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,ASHFIELD MEDICAL CENTRE MILTON KEYNES,30249445,280,280,OUTSIDE SCOPE,BU000026097,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,ASHFIELD MEDICAL CENTRE MILTON KEYNES,30249445,"87,000.37","87,000.37",OUTSIDE SCOPE,BU000026097,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS Other FDR Payment,PRC DELEGATED CO-COMMISSIONING,ASHFIELD MEDICAL CENTRE MILTON KEYNES,30249445,347.78,347.78,OUTSIDE SCOPE,BU000026097,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ASHFIELD MEDICAL CENTRE MILTON KEYNES,30249445,"1,817.85","1,817.85",OUTSIDE SCOPE,BU000026097,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,ASHFIELD MEDICAL CENTRE MILTON KEYNES,30249445,"2,323.76","2,323.76",OUTSIDE SCOPE,BU000026097,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,ASHFIELD MEDICAL CENTRE MILTON KEYNES,30249445,"2,363.00","2,363.00",OUTSIDE SCOPE,BU000026097,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,ASHFIELD MEDICAL CENTRE MILTON KEYNES,30249445,146.9,146.9,OUTSIDE SCOPE,BU000026097,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ASHFIELD MEDICAL CENTRE MILTON KEYNES,30249445,"7,416.06","7,416.06",OUTSIDE SCOPE,BU000026097,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,COBBS GARDEN SURGERY,30249447,"16,002.06","16,002.06",OUTSIDE SCOPE,BU000026099,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,COBBS GARDEN SURGERY,30249447,140,140,OUTSIDE SCOPE,BU000026099,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,COBBS GARDEN SURGERY,30249447,265.14,265.14,OUTSIDE SCOPE,BU000026099,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,COBBS GARDEN SURGERY,30249447,"59,368.65","59,368.65",OUTSIDE SCOPE,BU000026099,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,COBBS GARDEN SURGERY,30249447,251.2,251.2,OUTSIDE SCOPE,BU000026099,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,COBBS GARDEN SURGERY,30249447,"1,210.86","1,210.86",OUTSIDE SCOPE,BU000026099,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,COBBS GARDEN SURGERY,30249447,"1,658.03","1,658.03",OUTSIDE SCOPE,BU000026099,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS Prem Cost Rent,PRC DELEGATED CO-COMMISSIONING,COBBS GARDEN SURGERY,30249447,"2,357.10","2,357.10",OUTSIDE SCOPE,BU000026099,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,COBBS GARDEN SURGERY,30249447,"5,097.22","5,097.22",OUTSIDE SCOPE,BU000026099,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,COBBS GARDEN SURGERY,30249447,"1,240.00","1,240.00",OUTSIDE SCOPE,BU000026099,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,COBBS GARDEN SURGERY,30249447,"2,831.62","2,831.62",OUTSIDE SCOPE,BU000026099,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,COBBS GARDEN SURGERY,30249447,"6,220.16","6,220.16",OUTSIDE SCOPE,BU000026099,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,FISHERMEAD MEDICAL CENTRE,30249449,"3,544.72","3,544.72",OUTSIDE SCOPE,BU000026101,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,FISHERMEAD MEDICAL CENTRE,30249449,560,560,OUTSIDE SCOPE,BU000026101,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,FISHERMEAD MEDICAL CENTRE,30249449,"1,237.28","1,237.28",OUTSIDE SCOPE,BU000026101,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,FISHERMEAD MEDICAL CENTRE,30249449,"43,901.13","43,901.13",OUTSIDE SCOPE,BU000026101,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,FISHERMEAD MEDICAL CENTRE,30249449,679.07,679.07,OUTSIDE SCOPE,BU000026101,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,FISHERMEAD MEDICAL CENTRE,30249449,895.31,895.31,OUTSIDE SCOPE,BU000026101,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,FISHERMEAD MEDICAL CENTRE,30249449,"1,296.39","1,296.39",OUTSIDE SCOPE,BU000026101,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,FISHERMEAD MEDICAL CENTRE,30249449,"2,693.75","2,693.75",OUTSIDE SCOPE,BU000026101,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,FISHERMEAD MEDICAL CENTRE,30249449,545,545,OUTSIDE SCOPE,BU000026101,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,FISHERMEAD MEDICAL CENTRE,30249449,926.91,926.91,OUTSIDE SCOPE,BU000026101,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,FISHERMEAD MEDICAL CENTRE,30249449,"3,392.36","3,392.36",OUTSIDE SCOPE,BU000026101,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,GROVE SURGERY,30249451,"4,973.80","4,973.80",OUTSIDE SCOPE,BU000026105,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,GROVE SURGERY,30249451,"8,621.90","8,621.90",OUTSIDE SCOPE,BU000026105,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,GROVE SURGERY,30249451,707.03,707.03,OUTSIDE SCOPE,BU000026105,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,GROVE SURGERY,30249451,"57,382.17","57,382.17",OUTSIDE SCOPE,BU000026105,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS Other FDR Payment,PRC DELEGATED CO-COMMISSIONING,GROVE SURGERY,30249451,592.94,592.94,OUTSIDE SCOPE,BU000026105,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,GROVE SURGERY,30249451,"4,032.44","4,032.44",OUTSIDE SCOPE,BU000026105,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,GROVE SURGERY,30249451,"1,148.10","1,148.10",OUTSIDE SCOPE,BU000026105,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,GROVE SURGERY,30249451,"23,610.00","23,610.00",OUTSIDE SCOPE,BU000026105,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,GROVE SURGERY,30249451,"1,526.00","1,526.00",OUTSIDE SCOPE,BU000026105,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,GROVE SURGERY,30249451,"1,005.54","1,005.54",OUTSIDE SCOPE,BU000026105,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,GROVE SURGERY,30249451,"4,561.98","4,561.98",OUTSIDE SCOPE,BU000026105,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,HILLTOPS MEDICAL CENTRE,30249453,"2,939.20","2,939.20",OUTSIDE SCOPE,BU000026107,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,HILLTOPS MEDICAL CENTRE,30249453,"104,493.89","104,493.89",OUTSIDE SCOPE,BU000026107,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS Other FDR Payment,PRC DELEGATED CO-COMMISSIONING,HILLTOPS MEDICAL CENTRE,30249453,"4,262.09","4,262.09",OUTSIDE SCOPE,BU000026107,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,HILLTOPS MEDICAL CENTRE,30249453,"2,086.24","2,086.24",OUTSIDE SCOPE,BU000026107,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,HILLTOPS MEDICAL CENTRE,30249453,"2,035.84","2,035.84",OUTSIDE SCOPE,BU000026107,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,HILLTOPS MEDICAL CENTRE,30249453,"13,230.00","13,230.00",OUTSIDE SCOPE,BU000026107,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,HILLTOPS MEDICAL CENTRE,30249453,"3,096.00","3,096.00",OUTSIDE SCOPE,BU000026107,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,HILLTOPS MEDICAL CENTRE,30249453,297.94,297.94,OUTSIDE SCOPE,BU000026107,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,HILLTOPS MEDICAL CENTRE,30249453,"9,992.94","9,992.94",OUTSIDE SCOPE,BU000026107,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,HILLTOPS MEDICAL CENTRE,30249453,"3,195.62","3,195.62",OUTSIDE SCOPE,BU000026107,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,HILLTOPS MEDICAL CENTRE,30249453,"1,957.33","1,957.33",OUTSIDE SCOPE,BU000026107,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,MILTON KEYNES VILLAGE PRACTICE,30249455,"8,249.86","8,249.86",OUTSIDE SCOPE,BU000026109,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,MILTON KEYNES VILLAGE PRACTICE,30249455,"1,260.00","1,260.00",OUTSIDE SCOPE,BU000026109,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,MILTON KEYNES VILLAGE PRACTICE,30249455,441.87,441.87,OUTSIDE SCOPE,BU000026109,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,MILTON KEYNES VILLAGE PRACTICE,30249455,"77,317.97","77,317.97",OUTSIDE SCOPE,BU000026109,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,MILTON KEYNES VILLAGE PRACTICE,30249455,"1,812.82","1,812.82",OUTSIDE SCOPE,BU000026109,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,MILTON KEYNES VILLAGE PRACTICE,30249455,"1,604.93","1,604.93",OUTSIDE SCOPE,BU000026109,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,MILTON KEYNES VILLAGE PRACTICE,30249455,"1,515.53","1,515.53",OUTSIDE SCOPE,BU000026109,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,MILTON KEYNES VILLAGE PRACTICE,30249455,"2,232.00","2,232.00",OUTSIDE SCOPE,BU000026109,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,MILTON KEYNES VILLAGE PRACTICE,30249455,"1,568.31","1,568.31",OUTSIDE SCOPE,BU000026109,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,MILTON KEYNES VILLAGE PRACTICE,30249455,"6,732.02","6,732.02",OUTSIDE SCOPE,BU000026109,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,OAKRIDGE PARK MEDICAL CENTRE,30249457,"9,908.61","9,908.61",OUTSIDE SCOPE,BU000026111,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,OAKRIDGE PARK MEDICAL CENTRE,30249457,"2,651.38","2,651.38",OUTSIDE SCOPE,BU000026111,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,OAKRIDGE PARK MEDICAL CENTRE,30249457,"78,024.43","78,024.43",OUTSIDE SCOPE,BU000026111,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,OAKRIDGE PARK MEDICAL CENTRE,30249457,303.07,303.07,OUTSIDE SCOPE,BU000026111,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,OAKRIDGE PARK MEDICAL CENTRE,30249457,"1,609.01","1,609.01",OUTSIDE SCOPE,BU000026111,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,OAKRIDGE PARK MEDICAL CENTRE,30249457,"1,832.37","1,832.37",OUTSIDE SCOPE,BU000026111,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,OAKRIDGE PARK MEDICAL CENTRE,30249457,"7,065.68","7,065.68",OUTSIDE SCOPE,BU000026111,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,PARKSIDE MEDICAL CENTRE,30249458,-877.76,-877.76,OUTSIDE SCOPE,BU000026112,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,PARKSIDE MEDICAL CENTRE,30249458,"-10,278.64","-10,278.64",OUTSIDE SCOPE,BU000026112,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,PARKSIDE MEDICAL CENTRE,30249458,"-3,504.20","-3,504.20",OUTSIDE SCOPE,BU000026112,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,PARKSIDE MEDICAL CENTRE,30249458,"-3,824.26","-3,824.26",OUTSIDE SCOPE,BU000026112,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,PARKSIDE MEDICAL CENTRE,30249458,"-8,949.63","-8,949.63",OUTSIDE SCOPE,BU000026112,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,PARKSIDE MEDICAL CENTRE,30249459,"4,792.89","4,792.89",OUTSIDE SCOPE,BU000026113,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,PARKSIDE MEDICAL CENTRE,30249459,"2,660.00","2,660.00",OUTSIDE SCOPE,BU000026113,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,PARKSIDE MEDICAL CENTRE,30249459,"76,208.38","76,208.38",OUTSIDE SCOPE,BU000026113,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,PARKSIDE MEDICAL CENTRE,30249459,"1,520.84","1,520.84",OUTSIDE SCOPE,BU000026113,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,PARKSIDE MEDICAL CENTRE,30249459,"1,427.47","1,427.47",OUTSIDE SCOPE,BU000026113,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,PARKSIDE MEDICAL CENTRE,30249459,"10,458.33","10,458.33",OUTSIDE SCOPE,BU000026113,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,PARKSIDE MEDICAL CENTRE,30249459,"2,665.00","2,665.00",OUTSIDE SCOPE,BU000026113,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,PARKSIDE MEDICAL CENTRE,30249459,951.74,951.74,OUTSIDE SCOPE,BU000026113,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,PARKSIDE MEDICAL CENTRE,30249459,"7,540.21","7,540.21",OUTSIDE SCOPE,BU000026113,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,RED HOUSE SURGERY,30249461,"26,780.00","26,780.00",OUTSIDE SCOPE,BU000026115,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,RED HOUSE SURGERY,30249461,700,700,OUTSIDE SCOPE,BU000026115,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,RED HOUSE SURGERY,30249461,"103,676.82","103,676.82",OUTSIDE SCOPE,BU000026115,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS Other FDR Payment,PRC DELEGATED CO-COMMISSIONING,RED HOUSE SURGERY,30249461,504.17,504.17,OUTSIDE SCOPE,BU000026115,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,RED HOUSE SURGERY,30249461,"2,165.08","2,165.08",OUTSIDE SCOPE,BU000026115,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,RED HOUSE SURGERY,30249461,"3,718.74","3,718.74",OUTSIDE SCOPE,BU000026115,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,RED HOUSE SURGERY,30249461,833.33,833.33,OUTSIDE SCOPE,BU000026115,X24N_NHAIS_20191220_BU.1
Department of Health,NHS Milton Keynes CCG,31/12/2019,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,RED HOUSE SURGERY,30249461,"4,916.67","4,916.67",OUTSIDE SCOPE,BU000026115,X24N_NHAIS_20191220_BU.1
