Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount,VAT Registration Number
Department of Health,NHS Stockport CCG,7/31/2020,C&M-GMS PCO Doctors Ret Scheme,PRC DELEGATED CO-COMMISSIONING,HEALD GREEN HEALTH CENTRE DR WRIGHT,33073607,1076.88,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,HEALD GREEN HEALTH CENTRE DR WRIGHT,33073607,9127.82,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,MARPLE BRIDGE SURGERY,33073612,48451.56,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,MARPLE BRIDGE SURGERY,33073612,955.61,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-GMS PCO Locum Adop/Pat/Mat,PRC DELEGATED CO-COMMISSIONING,MARPLE BRIDGE SURGERY,33073612,1863.54,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,MARPLE BRIDGE SURGERY,33073612,278.75,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,MARPLE BRIDGE SURGERY,33073612,5598.7,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,MARPLE COTTAGE SURGERY,33073616,1102.62,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,MARPLE COTTAGE SURGERY,33073616,55474.59,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,MARPLE COTTAGE SURGERY,33073616,4479.17,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,MARPLE COTTAGE SURGERY,33073616,6611.81,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,MARPLE MEDICAL PRACTICE,33073619,53431.44,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,MARPLE MEDICAL PRACTICE,33073619,1054.67,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,MARPLE MEDICAL PRACTICE,33073619,2614.08,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,MARPLE MEDICAL PRACTICE,33073619,10789.17,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-GMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,MANOR MEDICAL PRACTICE,33073620,-294.26,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,MANOR MEDICAL PRACTICE,33073620,-9426.95,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,MANOR MEDICAL PRACTICE,33073620,-3356.67,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,ME-GMS GP Pension EEs Adjustments,PRC DELEGATED CO-COMMISSIONING,MANOR MEDICAL PRACTICE,33073620,-1281.72,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,MANOR MEDICAL PRACTICE,33073620,-4938.88,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,MANOR MEDICAL PRACTICE,33073620,-8850.07,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,MANOR MEDICAL PRACTICE,33073622,73922.57,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,MANOR MEDICAL PRACTICE,33073622,1444.55,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,MANOR MEDICAL PRACTICE,33073622,1658,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,MANOR MEDICAL PRACTICE,33073622,10327.2,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-GMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,PARK VIEW GROUP PRACTICE,33073623,-298.4,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,PARK VIEW GROUP PRACTICE,33073623,-19241.67,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,PARK VIEW GROUP PRACTICE,33073623,-9419.02,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,PARK VIEW GROUP PRACTICE,33073623,-8486.7,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,PARK VIEW GROUP PRACTICE,33073623,-17526.88,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,PARK VIEW GROUP PRACTICE,33073626,1120,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,PARK VIEW GROUP PRACTICE,33073626,67764.48,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,PARK VIEW GROUP PRACTICE,33073626,1335.43,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,PARK VIEW GROUP PRACTICE,33073626,5290.67,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,PARK VIEW GROUP PRACTICE,33073626,210.6,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,PARK VIEW GROUP PRACTICE,33073626,18822.82,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,PARK VIEW GROUP PRACTICE,33073626,11523.69,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,PARK VIEW GROUP PRACTICE,33073626,7546.07,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,SOUTH REDDISH MEDICAL CENTRE,33073630,28541.03,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,SOUTH REDDISH MEDICAL CENTRE,33073630,566.01,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-PMS PCO Locum Adop/Pat/Mat,PRC DELEGATED CO-COMMISSIONING,SOUTH REDDISH MEDICAL CENTRE,33073630,1000,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-PMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,SOUTH REDDISH MEDICAL CENTRE,33073630,16216.54,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,SOUTH REDDISH MEDICAL CENTRE,33073630,5683.73,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,SPRINGFIELD SURGERY STOCKPORT,33073633,39483.54,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,SPRINGFIELD SURGERY STOCKPORT,33073633,780.24,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,SPRINGFIELD SURGERY STOCKPORT,33073633,3583.33,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,SPRINGFIELD SURGERY STOCKPORT,33073633,4797.68,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,VILLAGE SURGERY STOCKPORT,33073640,44175.33,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,VILLAGE SURGERY STOCKPORT,33073640,838.81,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,VILLAGE SURGERY STOCKPORT,33073640,3191.67,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,VILLAGE SURGERY STOCKPORT,33073640,174.51,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,VILLAGE SURGERY STOCKPORT,33073640,4479.15,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,WOODLEY VILLAGE SURGERY,33073644,24938.69,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,WOODLEY VILLAGE SURGERY,33073644,489.27,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,WOODLEY VILLAGE SURGERY,33073644,4263.31,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR OWEN & PARTNERS,33073645,48420.08,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR OWEN & PARTNERS,33073645,950.44,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR OWEN & PARTNERS,33073645,8503.3,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,DR OWEN & PARTNERS,33073645,4194.19,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,DR OWEN & PARTNERS,33073645,3004.15,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-PMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,HEATON MOOR MEDICAL GROUP,33073646,-1445.1,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,HEATON MOOR MEDICAL GROUP,33073646,-16482.45,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,ME - PMS TPS Added Years Adj EEs,PRC DELEGATED CO-COMMISSIONING,HEATON MOOR MEDICAL GROUP,33073646,-847.5,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,HEATON MOOR MEDICAL GROUP,33073646,-22233.65,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,HEATON MOOR MEDICAL GROUP,33073646,-26366.36,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,ME-PMS GP Prior Year AVCs,PRC DELEGATED CO-COMMISSIONING,HEATON MOOR MEDICAL GROUP,33073646,-2027.5,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,HEATON MOOR MEDICAL GROUP,33073646,-15887.72,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,HEATON MOOR MEDICAL GROUP,33073647,312755.06,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,HEATON MOOR MEDICAL GROUP,33073647,7426.54,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-PMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,HEATON MOOR MEDICAL GROUP,33073647,3697.9,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-PMS PCN DES PCN support,LOCAL ENHANCED SERVICES,HEATON MOOR MEDICAL GROUP,33073647,7682.63,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,HEATON MOOR MEDICAL GROUP,33073647,6125.33,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-PMS PCO Locum Adop/Pat/Mat,PRC DELEGATED CO-COMMISSIONING,HEATON MOOR MEDICAL GROUP,33073647,6243.06,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,HEATON MOOR MEDICAL GROUP,33073647,13816.18,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,HEATON MOOR MEDICAL GROUP,33073647,33319.2,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,HEATON MOOR MEDICAL GROUP,33073647,2219.43,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,HEATON MOOR MEDICAL GROUP,33073647,3056.16,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,Clinical&Medical-Independent Sector,COMMISSIONING SCHEMES,HEATON MOOR MEDICAL GROUP,33087893,37386.15,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BRACONDALE MEDICAL CENTRE,33094006,39668.27,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,BRACONDALE MEDICAL CENTRE,33094006,786.12,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,BRACONDALE MEDICAL CENTRE,33094006,11851.25,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BRACONDALE MEDICAL CENTRE,33094006,3987.29,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,BRACONDALE MEDICAL CENTRE,33094006,15517.4,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,BRACONDALE MEDICAL CENTRE,33094006,17523.7,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,STOCKPORT MEDICAL GROUP,33094008,2343.51,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,STOCKPORT MEDICAL GROUP,33094008,118722.6,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-PMS PCO Doctors Ret Scheme,PRC DELEGATED CO-COMMISSIONING,STOCKPORT MEDICAL GROUP,33094008,7076.8,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,STOCKPORT MEDICAL GROUP,33094008,7861.08,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,STOCKPORT MEDICAL GROUP,33094008,111.57,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,STOCKPORT MEDICAL GROUP,33094008,14929.09,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,STOCKPORT MEDICAL GROUP,33094008,5991.78,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,ME-PMS GP Pension AVCs,PRC DELEGATED CO-COMMISSIONING,STOCKPORT MEDICAL GROUP,33094008,558.8,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,ME-PMS GP Pension EEs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,STOCKPORT MEDICAL GROUP,33094008,3190,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,STOCKPORT MEDICAL GROUP,33094008,3163.6,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,ME-PMS GP Prior Year AVCs,PRC DELEGATED CO-COMMISSIONING,STOCKPORT MEDICAL GROUP,33094008,1459.44,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,STOCKPORT MEDICAL GROUP,33094008,6204.03,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,Clinical&Medical-Independent Sector,OUT OF HOURS,MASTERCALL HEALTHCARE,33104150,117617,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,Clinical&Medical-Commercial Sector,PLANNED CARE,OPTEGRA MANCHESTER,33104248,29141.78,938297867
Department of Health,NHS Stockport CCG,7/31/2020,Clinical&Medical-Commercial Sector,PLANNED CARE,OPTEGRA MANCHESTER,33104258,344440,938297867
Department of Health,NHS Stockport CCG,7/31/2020,Clinical&Medical-Devolved Admin'n,NCAS/OATS,BELFAST HEALTH & SOCIAL CARE TRUST,33104271,98616,GB 888808059
Department of Health,NHS Stockport CCG,7/31/2020,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,MARIA MALLABAND CARE GROUP,33124030,-39428.6,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,CHESHIRE AND WIRRAL PARTNERSHIP NHS FOUNDATION TRUST,33139064,40207,654951901
Department of Health,NHS Stockport CCG,7/31/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EAST CHESHIRE NHS TRUST,33139066,190414,654919892
Department of Health,NHS Stockport CCG,7/31/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,GREATER MANCHESTER MENTAL HEALTH NHS FOUNDATION TRUST,33139068,40664,GB654929594
Department of Health,NHS Stockport CCG,7/31/2020,Hlthcre-Foundation Trsts,NCAS/OATS,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,33139069,25586,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,33139072,4611490,654415538
Department of Health,NHS Stockport CCG,7/31/2020,Hcare Srv Rec Fdtn Trust-Non Contract,LEARNING DIFFICULTIES,MERSEY CARE NHS FOUNDATION TRUST,33139075,27078,654412841
Department of Health,NHS Stockport CCG,7/31/2020,Hcare Srv Rec NHS Trust-Contract Baseline,COLLABORATIVE COMMISSIONING,NORTH WEST AMBULANCE SERVICE NHS TRUST,33139078,949075,654435138
Department of Health,NHS Stockport CCG,7/31/2020,Clinical&Medical-Serv Recd-NHS Trst,NHS 111,NORTH WEST AMBULANCE SERVICE NHS TRUST,33139081,74615,654435138
Department of Health,NHS Stockport CCG,7/31/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,SALFORD ROYAL NHS FOUNDATION TRUST,33139083,813247,654939786
Department of Health,NHS Stockport CCG,7/31/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,33139086,158203,654945109
Department of Health,NHS Stockport CCG,7/31/2020,Hlthcre-Foundation Trsts,NCAS/OATS,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,33139088,36939,654948687
Department of Health,NHS Stockport CCG,7/31/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,WRIGHTINGTON WIGAN AND LEIGH TEACHING HOSPITALS NHS FOUNDATION TRUST,33139090,49003,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,STOCKPORT NHS FOUNDATION TRUST,33139092,14373018,654974295
Department of Health,NHS Stockport CCG,7/31/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,COMMUNITY SERVICES,STOCKPORT NHS FOUNDATION TRUST,33139094,1679738,654974295
Department of Health,NHS Stockport CCG,7/31/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,PENNINE CARE NHS FOUNDATION TRUST,33139099,2892762,654425730
Department of Health,NHS Stockport CCG,7/31/2020,Hlthcre-Foundation Trsts,ACUTE COMMISSIONING,THE CHRISTIE NHS FOUNDATION TRUST,33139101,334106,654916118
Department of Health,NHS Stockport CCG,7/31/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,PENNINE ACUTE HOSPITALS NHS TRUST,33139104,57371,654418333
Department of Health,NHS Stockport CCG,7/31/2020,Apprenticeship Levy Payable,BALANCE SHEET,HMRC,33141690,579,654457614
Department of Health,NHS Stockport CCG,7/31/2020,Income tax <1Yr,BALANCE SHEET,HMRC,33141690,55212,654457614
Department of Health,NHS Stockport CCG,7/31/2020,Income tax <1Yr-Student Loans,BALANCE SHEET,HMRC,33141690,1476,654457614
Department of Health,NHS Stockport CCG,7/31/2020,National Insurance < 1 yr-NI- ERS,BALANCE SHEET,HMRC,33141690,39365.89,654457614
Department of Health,NHS Stockport CCG,7/31/2020,National Insurance < 1 yr-NI-EES,BALANCE SHEET,HMRC,33141690,28696.55,654457614
Department of Health,NHS Stockport CCG,7/31/2020,Statutory Mat Pay < 1 yr,BALANCE SHEET,HMRC,33141690,-1947.4,654457614
Department of Health,NHS Stockport CCG,7/31/2020,Hlthcre-Foundation Trsts,PRIMARY CARE IT,SALFORD ROYAL NHS FOUNDATION TRUST,33149443,101149.58,654939786
Department of Health,NHS Stockport CCG,7/31/2020,Other Gen Supplies & Srv,IM&T,SALFORD ROYAL NHS FOUNDATION TRUST,33149443,12766,654939786
Department of Health,NHS Stockport CCG,7/31/2020,Hlthcre-Foundation Trsts,PRIMARY CARE IT,SALFORD ROYAL NHS FOUNDATION TRUST,33149457,1587.58,654939786
Department of Health,NHS Stockport CCG,7/31/2020,Other Gen Supplies & Srv,COLLABORATIVE COMMISSIONING,SALFORD ROYAL NHS FOUNDATION TRUST,33149457,1952.58,654939786
Department of Health,NHS Stockport CCG,7/31/2020,Other Gen Supplies & Srv,CONTRACT MANAGEMENT,SALFORD ROYAL NHS FOUNDATION TRUST,33149457,12633.75,654939786
Department of Health,NHS Stockport CCG,7/31/2020,Other Gen Supplies & Srv,HUMAN RESOURCES,SALFORD ROYAL NHS FOUNDATION TRUST,33149457,12632.91,654939786
Department of Health,NHS Stockport CCG,7/31/2020,Other Gen Supplies & Srv,IM&T,SALFORD ROYAL NHS FOUNDATION TRUST,33149457,9523.17,654939786
Department of Health,NHS Stockport CCG,7/31/2020,Other Gen Supplies & Srv,NHS 111,SALFORD ROYAL NHS FOUNDATION TRUST,33149457,2388.83,654939786
Department of Health,NHS Stockport CCG,7/31/2020,Pension<1yr-SOLO Pension EEs,BALANCE SHEET,NHS ENGLAND,33155152,39766.99,654 442 045
Department of Health,NHS Stockport CCG,7/31/2020,Pension<1yr-SOLO Pension ERs,BALANCE SHEET,NHS ENGLAND,33155152,44567.85,654 442 045
Department of Health,NHS Stockport CCG,7/31/2020,Hcare Srv Rec NHS Trust,NCAS/OATS,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,33259500,25000,654913715
Department of Health,NHS Stockport CCG,7/31/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,SALFORD ROYAL NHS FOUNDATION TRUST,33259513,29977,654939786
Department of Health,NHS Stockport CCG,7/31/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,PENNINE CARE NHS FOUNDATION TRUST,33259522,66578.99,654425730
Department of Health,NHS Stockport CCG,7/31/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,PENNINE CARE NHS FOUNDATION TRUST,33259527,70787,654425730
Department of Health,NHS Stockport CCG,7/31/2020,Clinical&Medical-Commercial Sector,COMMUNITY SERVICES,TRANSITIONAL REHABILITATION UNIT LTD,33259547,55460,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,Healthcare Srv Rec CCG,PROGRAMME PROJECTS,NHS BOLTON CCG,33259555,95057,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,NEW CARE OPCO (WOODFORD) LTD,33259731,424478.57,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,Clinical&Medical-Othe Public Sector,COMMUNITY SERVICES,STOCKPORT METROPOLITAN BOROUGH COUNCIL,33259805,1155060,GB158556040
Department of Health,NHS Stockport CCG,7/31/2020,Clinical&Medical-Othe Public Sector,LEARNING DIFFICULTIES,STOCKPORT METROPOLITAN BOROUGH COUNCIL,33259805,132916.27,GB158556040
Department of Health,NHS Stockport CCG,7/31/2020,Clinical&Medical-Othe Public Sector,LONG TERM CONDITIONS,STOCKPORT METROPOLITAN BOROUGH COUNCIL,33259805,317666.66,GB158556040
Department of Health,NHS Stockport CCG,7/31/2020,Clinical&Medical-Othe Public Sector,MENTAL HEALTH SERVICES - OTHER,STOCKPORT METROPOLITAN BOROUGH COUNCIL,33259805,24083.74,GB158556040
Department of Health,NHS Stockport CCG,7/31/2020,Clinical&Medical-Othe Public Sector,REABLEMENT,STOCKPORT METROPOLITAN BOROUGH COUNCIL,33259805,100333.33,GB158556040
Department of Health,NHS Stockport CCG,7/31/2020,Cont Care-Funded Nursing Care Allow,FUNDED NURSING CARE,STOCKPORT METROPOLITAN BOROUGH COUNCIL,33259834,683258,GB158556040
Department of Health,NHS Stockport CCG,7/31/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,SALFORD ROYAL NHS FOUNDATION TRUST,33259924,-29977,654939786
