Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DOLPHIN HOUSE SURGERY,26593417,"10,698.33",,HT000040302,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Clinical&Medical-Clinical Other,PRC DELEGATED CO-COMMISSIONING,DR N SELVADURAI,26315209,"26,556.00",,WP3119,,
Department of Health,NHS East & North Hertfordshire CCG,28/02/2019,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,26127657,"18,241,780.91",654973984,4160594,,paid Mar inv Mar
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Hcare Srv Rec NHS Trust-Non Contract,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,26227919,"96,500.00",654973984,4160277,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Hcare Srv Rec NHS Trust-Prior Year,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,26227972,"-1,737,059.00",654973984,4160288,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Hcare Srv Rec NHS Trust-Over/ Under Performance,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,26229291,"4,097,968.00",654973984,4160542,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Cont Care-NHS Trust,CHC CHILDREN,EAST AND NORTH HERTFORDSHIRE NHS TRUST,26244611,"57,206.03",654973984,4160852,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Hcare Srv Rec NHS Trust-Non Contract,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,26484181,"328,250.00",654973984,4156413,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Hcare Srv Rec NHS Trust-Over/ Under Performance,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,26484257,"2,334,945.00",654973984,4160575,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Hcare Srv Rec NHS Trust-Non Contract,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,26638617,"105,083.00",654973984,4161681,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Hcare Srv Rec NHS Trust-Non Contract,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,26648331,"190,000.00",654973984,4159056,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Hcare Srv Rec NHS Trust-Over/ Under Performance,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,26648361,"757,159.10",654973984,4161619,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Hcare Srv Rec NHS Trust-Non Contract,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,26648362,"40,000.00",654973984,4161713,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,26244612,"1,632,205.93",654919501,8113121,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Travel Booking Services,PATIENT TRANSPORT,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,26244614,"233,181.00",654919501,8113114,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,26552188,"57,105.00",654919501,8113204,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,26628553,"39,528.00",654919501,8113339,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Netwrkd assets(Owned)-Cost-Addns,BALANCE SHEET,EMBER SERVICES LTD,26638661,"45,000.00",158272493,1045,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Clinical&Medical-Clinical Other,GP FORWARD VIEW,EPHEDRA HEALTHCARE LTD,26229049,"37,884.00",,EAFEB2019,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS LES GP Comm Incentive Sch,LOCAL ENHANCED SERVICES,EPHEDRA HEALTHCARE LTD,26648450,"39,380.00",,INSURMAR2019,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS Practice Transformational Support,LOCAL ENHANCED SERVICES,EPHEDRA HEALTHCARE LTD,26648450,"30,334.00",,INSURMAR2019,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Clinical&Medical-Clinical Other,GP FORWARD VIEW,EPHEDRA HEALTHCARE LTD,26667899,"37,884.00",,EAMAR2019,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Hcare Srv Rec Fdtn Trust-Contract Cost per Case,COMMUNITY SERVICES,ESSEX PARTNERSHIP UNIVERSITY NHS FT,26315356,"68,703.17",GB654974100,I0064797,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,GARDEN CITY PRACTICE,26593420,"65,258.10",,HT000040304,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS Other FDR Payment,PRC DELEGATED CO-COMMISSIONING,GARDEN CITY PRACTICE,26593420,"4,543.05",,HT000040304,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,GARDEN CITY PRACTICE,26593420,"2,506.50",,HT000040304,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,GARDEN CITY PRACTICE,26593420,"2,020.83",,HT000040304,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,GARDEN CITY PRACTICE,26593420,"2,471.25",,HT000040304,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,GARDEN CITY PRACTICE,26593420,"6,036.56",,HT000040304,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,GARDEN CITY SURGERY,26593423,"48,695.31",,HT000040306,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,GARDEN CITY SURGERY,26593423,"1,061.42",,HT000040306,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,GARDEN CITY SURGERY,26593423,"1,538.73",,HT000040306,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,GARDEN CITY SURGERY,26593423,"2,495.83",,HT000040306,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,GARDEN CITY SURGERY,26593423,156.54,,HT000040306,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,GARDEN CITY SURGERY,26593423,"4,543.48",,HT000040306,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,GARDEN CITY SURGERY,26593423,0.5,,HT000040306,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Clinical&Medical-Voluntary Sector,HOSPICES,GARDEN HOUSE HOSPICE,26628303,"26,925.00",,1062,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Clinical&Medical-Clinical Other,PRC DELEGATED CO-COMMISSIONING,GENERATING HEALTHCARE LTD,26315342,"33,520.50",,WINTERPRESUREWR004,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Clinical&Medical-Clinical Other,GP FORWARD VIEW,GENERATING HEALTHCARE LTD,26315362,"34,667.00",,635,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,GENERATING HEALTHCARE LTD,26356380,"52,989.63",,HT000040252,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-APMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,GENERATING HEALTHCARE LTD,26356380,"2,777.08",,HT000040252,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,GENERATING HEALTHCARE LTD,26356380,"2,654.26",,HT000040252,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,GENERATING HEALTHCARE LTD,26356382,"23,016.33",,HT000040254,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-APMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,GENERATING HEALTHCARE LTD,26356382,"2,239.58",,HT000040254,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,GENERATING HEALTHCARE LTD,26356382,"1,738.62",,HT000040254,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,26244615,"52,591.92",654922910,X0209483,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,26244594,"139,797.00",654923417,3257753,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,HAILEY VIEW SURGERY,26593427,"1,960.00",,HT000040308,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,HAILEY VIEW SURGERY,26593427,"54,957.78",,HT000040308,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,HAILEY VIEW SURGERY,26593427,28.8,,HT000040308,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS PCO Doctors Ret Scheme,PRC DELEGATED CO-COMMISSIONING,HAILEY VIEW SURGERY,26593427,"1,230.72",,HT000040308,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,HAILEY VIEW SURGERY,26593427,"2,045.33",,HT000040308,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,HAILEY VIEW SURGERY,26593427,"6,950.11",,HT000040308,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,HALL GROVE SURGERY,26593432,"-1,774.74",,HT000040311,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,HALL GROVE SURGERY,26593432,-201.68,,HT000040311,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,HALL GROVE SURGERY,26593432,"-3,336.06",,HT000040311,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,ME - GMS TPS Added Years Adj EEs,PRC DELEGATED CO-COMMISSIONING,HALL GROVE SURGERY,26593432,"-2,854.50",,HT000040311,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,HALL GROVE SURGERY,26593432,"-38,147.22",,HT000040311,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,HALL GROVE SURGERY,26593432,"-34,600.53",,HT000040311,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,ME-GMS GP Prior Year AVCs,PRC DELEGATED CO-COMMISSIONING,HALL GROVE SURGERY,26593432,"-1,786.39",,HT000040311,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,HALL GROVE SURGERY,26593432,"-3,186.94",,HT000040311,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,HALL GROVE SURGERY,26593434,"112,730.75",,HT000040312,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,HALL GROVE SURGERY,26593434,"5,445.38",,HT000040312,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,HALL GROVE SURGERY,26593434,"7,737.50",,HT000040312,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,HALL GROVE SURGERY,26593434,"11,899.71",,HT000040312,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,HANSCOMBE HOUSE SURGERY,26593437,560,,HT000040314,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,HANSCOMBE HOUSE SURGERY,26593437,"69,006.54",,HT000040314,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,HANSCOMBE HOUSE SURGERY,26593437,273.95,,HT000040314,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS PCO Locum Sickness,PRC DELEGATED CO-COMMISSIONING,HANSCOMBE HOUSE SURGERY,26593437,"8,757.60",,HT000040314,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,HANSCOMBE HOUSE SURGERY,26593437,"3,934.18",,HT000040314,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,HANSCOMBE HOUSE SURGERY,26593437,"5,614.33",,HT000040314,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,HANSCOMBE HOUSE SURGERY,26593437,"6,298.79",,HT000040314,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,HC ONE OVAL LTD,26552077,"59,743.47",218 770886,ISCHDEC18,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Cont Care- Adult 100% Fully Funded,CHC ADULT FULLY FUNDED,HC ONE OVAL LTD,26552100,"2,177.73",218 770886,ISCHJAN19,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,HC ONE OVAL LTD,26552100,"57,419.07",218 770886,ISCHJAN19,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Cont Care-Funded Nursing Care Allow,FUNDED NURSING CARE,HC ONE OVAL LTD,26552357,"46,558.06",218 770886,STC057428TOSTC057499,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Hcare Srv Rec NHS Trust,COMMUNITY SERVICES,HERTFORDSHIRE COMMUNITY NHS TRUST,26229274,"50,000.00",654 4402 89,H0003122,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Hcare Srv Rec NHS Trust,INTERMEDIATE CARE,HERTFORDSHIRE COMMUNITY NHS TRUST,26272008,"51,784.80",654 4402 89,H0001701,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Hcare Srv Rec NHS Trust,INTERMEDIATE CARE,HERTFORDSHIRE COMMUNITY NHS TRUST,26272015,"25,190.53",654 4402 89,H0001781,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Hcare Srv Rec NHS Trust,INTERMEDIATE CARE,HERTFORDSHIRE COMMUNITY NHS TRUST,26272044,"31,579.45",654 4402 89,H0002186,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Hcare Srv Rec NHS Trust,INTERMEDIATE CARE,HERTFORDSHIRE COMMUNITY NHS TRUST,26272056,"28,031.83",654 4402 89,H0002463,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Hcare Srv Rec NHS Trust,INTERMEDIATE CARE,HERTFORDSHIRE COMMUNITY NHS TRUST,26272064,"31,719.60",654 4402 89,H0002695,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Hcare Srv Rec NHS Trust-Contract Baseline,COMMUNITY SERVICES,HERTFORDSHIRE COMMUNITY NHS TRUST,26272113,"3,537,851.51",654 4402 89,H0003237,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Hcare Srv Rec NHS Trust,INTERMEDIATE CARE,HERTFORDSHIRE COMMUNITY NHS TRUST,26315334,"31,856.19",654 4402 89,H0003263,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Hcare Srv Rec NHS Trust-Non Contract,COMMUNITY SERVICES,HERTFORDSHIRE COMMUNITY NHS TRUST,26552046,"31,220.00",654 4402 89,H0003060,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Hcare Srv Rec NHS Trust,COMMUNITY SERVICES,HERTFORDSHIRE COMMUNITY NHS TRUST,26628404,"32,907.38",654 4402 89,H0003368,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Social Care-ICES,COMMUNITY SERVICES,HERTFORDSHIRE COUNTY COUNCIL,26229159,"121,411.00",GB214527877,1802683167,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Clinical&Medical-Othe Public Sector,MENTAL HEALTH CONTRACTS,HERTFORDSHIRE COUNTY COUNCIL,26244592,"196,813.00",GB214527877,1802683181,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Clinical&Medical-Othe Public Sector,MENTAL HEALTH SERVICES - COLLABORATIVE COMMISSIONING,HERTFORDSHIRE COUNTY COUNCIL,26244592,"6,863,249.00",GB214527877,1802683181,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Clinical&Medical-Othe Public Sector,CARERS,HERTFORDSHIRE COUNTY COUNCIL,26372130,"24,163.00",GB214527877,1802683170,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Clinical&Medical-Othe Public Sector,INTERMEDIATE CARE,HERTFORDSHIRE COUNTY COUNCIL,26372130,"117,927.00",GB214527877,1802683170,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Cont Care- Adult 100% Fully Funded,CHC ADULT FULLY FUNDED,HERTFORDSHIRE COUNTY COUNCIL,26372130,"41,293.00",GB214527877,1802683170,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Seconded-Basic Sal-Staff fm oth org,OPERATIONS MANAGEMENT,HERTFORDSHIRE COUNTY COUNCIL,26372130,"4,413.00",GB214527877,1802683170,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Soc Care-Other Soc Care,LONG TERM CONDITIONS,HERTFORDSHIRE COUNTY COUNCIL,26372130,"1,151,946.00",GB214527877,1802683170,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Cont Care- Prior Year Payments,CHC ADULT FULLY FUNDED,HERTFORDSHIRE COUNTY COUNCIL,26502552,"130,919.75",GB214527877,1802490244,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Cont Care- Prior Year Payments,CHC ADULT JOINT FUNDED,HERTFORDSHIRE COUNTY COUNCIL,26502552,"200,373.21",GB214527877,1802490244,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Cont Care- Adult Joint Funded,CHC ADULT JOINT FUNDED,HERTFORDSHIRE COUNTY COUNCIL,26502553,"53,012.44",GB214527877,1802560261,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Cont Care- Prior Year Payments,CHC ADULT FULLY FUNDED,HERTFORDSHIRE COUNTY COUNCIL,26502553,"1,945.97",GB214527877,1802560261,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,HERTFORDSHIRE COUNTY COUNCIL,26502553,"43,195.91",GB214527877,1802560261,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Cont Care-Physical Disab (<65),CHC ADULT FULLY FUNDED,HERTFORDSHIRE COUNTY COUNCIL,26502553,"51,680.89",GB214527877,1802560261,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Cont Care- Adult Joint Funded,CHC ADULT JOINT FUNDED,HERTFORDSHIRE COUNTY COUNCIL,26502555,"43,607.96",GB214527877,1802630462,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,HERTFORDSHIRE COUNTY COUNCIL,26502555,"123,705.12",GB214527877,1802630462,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,HERTFORDSHIRE COUNTY COUNCIL,26502555,"9,351.98",GB214527877,1802630462,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Cont Care-Physical Disab (<65),CHC ADULT FULLY FUNDED,HERTFORDSHIRE COUNTY COUNCIL,26502555,"41,181.25",GB214527877,1802630462,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Cont Care- Adult Joint Funded,CHC ADULT JOINT FUNDED,HERTFORDSHIRE COUNTY COUNCIL,26502556,"5,956.10",GB214527877,1802664748,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Cont Care- Prior Year Payments,CHC ADULT FULLY FUNDED,HERTFORDSHIRE COUNTY COUNCIL,26502556,"14,573.77",GB214527877,1802664748,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,HERTFORDSHIRE COUNTY COUNCIL,26502556,"22,552.04",GB214527877,1802664748,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Cont Care- Adult Joint Funded,CHC ADULT JOINT FUNDED,HERTFORDSHIRE COUNTY COUNCIL,26502557,"38,668.33",GB214527877,1802682195,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Cont Care- Prior Year Payments,CHC ADULT FULLY FUNDED,HERTFORDSHIRE COUNTY COUNCIL,26502557,"61,518.52",GB214527877,1802682195,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,HERTFORDSHIRE COUNTY COUNCIL,26502557,"89,435.34",GB214527877,1802682195,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,HERTFORDSHIRE COUNTY COUNCIL,26502557,"67,967.66",GB214527877,1802682195,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Cont Care-Physical Disab (<65),CHC ADULT FULLY FUNDED,HERTFORDSHIRE COUNTY COUNCIL,26502557,"89,688.97",GB214527877,1802682195,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Cont Care- Children,CHC CHILDREN,HERTFORDSHIRE COUNTY COUNCIL,26575650,"551,620.03",GB214527877,1802663244,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Cont Care- Children,CHC CHILDREN,HERTFORDSHIRE COUNTY COUNCIL,26603045,"27,750.00",GB214527877,1802649022,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Clinical&Medical-Othe Public Sector,IMPROVING ACCESS TO PSYCHOLOGICAL THERAPIES,HERTFORDSHIRE COUNTY COUNCIL,26639704,"196,000.00",GB214527877,1802707805,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Clinical&Medical-Othe Public Sector,MENTAL HEALTH SERVICES - COLLABORATIVE COMMISSIONING,HERTFORDSHIRE COUNTY COUNCIL,26639704,"1,004,000.00",GB214527877,1802707805,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Clinical&Medical-Othe Public Sector,INTERMEDIATE CARE,HERTFORDSHIRE COUNTY COUNCIL,26667934,"35,867.00",GB214527877,1802707850,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Seconded-Basic Sal-Staff fm oth org,COMMISSIONING,HERTFORDSHIRE PARTNERSHIP NHS FOUNDATION TRUST,26244580,"25,512.00",654950120,P0001396,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Hcare Srv Rec Fdtn Trust-Non Contract,Winter Resilience,HERTFORDSHIRE PARTNERSHIP NHS FOUNDATION TRUST,26628180,"70,000.00",654950120,P0002021,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Clinical&Medical-Independent Sector,COMMISSIONING SCHEMES,HERTS URGENT CARE,26239034,"130,507.00",210815253,4704,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Clinical&Medical-Independent Sector,NHS 111,HERTS URGENT CARE,26239034,"23,726.35",210815253,4704,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Clinical&Medical-Independent Sector,OUT OF HOURS,HERTS URGENT CARE,26239034,"433,463.00",210815253,4704,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Clinical&Medical-Independent Sector,NHS 111,HERTS URGENT CARE,26239035,"133,403.46",210815253,4703,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Clinical&Medical-Independent Sector,COMMISSIONING SCHEMES,HERTS URGENT CARE,26372408,"7,643.11",210815253,4742,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Clinical&Medical-Independent Sector,NHS 111,HERTS URGENT CARE,26372408,"9,202.27",210815253,4742,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Clinical&Medical-Independent Sector,OUT OF HOURS,HERTS URGENT CARE,26372408,"25,385.69",210815253,4742,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Clinical&Medical-Independent Sector,COMMISSIONING SCHEMES,HERTS URGENT CARE,26372411,"35,163.37",210815253,4741,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Clinical&Medical-Independent Sector,NHS 111,HERTS URGENT CARE,26372411,"42,336.53",210815253,4741,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Clinical&Medical-Independent Sector,OUT OF HOURS,HERTS URGENT CARE,26372411,"116,791.05",210815253,4741,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Clinical&Medical-Independent Sector,COMMISSIONING SCHEMES,HERTS URGENT CARE,26628526,"38,280.30",210815253,4784,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Clinical&Medical-Independent Sector,NHS 111,HERTS URGENT CARE,26628526,"46,089.29",210815253,4784,,
